Degree	Train MSE	Test MSE	Train Variance	Test Variance	Train Std Dev	Test Std Dev
1	0.22298872590367708	0.14744323106944754	0.2229883153506935	0.14743687016191145	0.47221638615225275	0.3839750905487379
2	0.022682826720564046	0.012130304630402615	0.022658648214035633	0.01171143696390628	0.15052789845751396	0.10821939273488038
3	0.03776354244991789	0.02209009333344106	0.037742625744981086	0.022014791475626107	0.1942746142577076	0.1483738234178324
4	0.025027306335452953	0.018363570114737937	0.02502555634901816	0.018363292889967055	0.15819467863685605	0.13551122791107406
5	0.01295048490989054	0.009985391818613739	0.012948838551955976	0.009971453301663567	0.11379296354325243	0.09985716449841527
6	0.019700968109070755	0.017466791143442875	0.019700854042478507	0.016686966932294493	0.14035973084356676	0.1291780435379577
7	0.01808471134861967	0.01541944087823444	0.018084441938170166	0.014777549692140336	0.13447840695877597	0.12156294539102093
8	0.015377905800049378	0.012757061198367057	0.015377596255652234	0.012434350119892879	0.12400643634768413	0.11150941718031208
9	0.015264814662983125	0.012384989446637662	0.015263964163110204	0.012107273732714122	0.12354741665899051	0.11003305745417657
10	0.014436743004739794	0.011606501155773637	0.014435730559376973	0.011434145793039415	0.12014878509322087	0.10693056528906697
11	0.015726107284620882	0.013740578930230384	0.015725994804474792	0.013318327802945226	0.12540332852231154	0.11540505969386795
12	0.017551050029195808	0.015317360160862482	0.017550365649657403	0.014708894959199574	0.13247779304342824	0.12128023317589547
13	0.029239809123367707	0.02600693266524416	0.029228476611361926	0.024586539761869967	0.17096337798301112	0.1568009558703963
14	0.014416675223603525	0.01392042650795399	0.014414280965481625	0.013828692476870257	0.12005948927711473	0.11759546112359208
15	0.015811274003488102	0.014708649772752028	0.015807088644014197	0.014578395078155988	0.12572624484972975	0.12074102483479253
16	0.014477797977970885	0.014316649114834061	0.014476246967282473	0.014315639015478656	0.12031727626273159	0.11964797957123495
17	0.014530647553357284	0.014602168001207913	0.014529160014564635	0.01460213714268965	0.12053696534492908	0.12083930297171384
18	0.01641189500765155	0.016962814321509225	0.016411352120327953	0.01695342030269918	0.12810679966468586	0.13020530059371307
19	0.01555143605778995	0.013154365058908801	0.015549683607245656	0.013145492249809687	0.12469837050757984	0.11465379300228007
20	0.017320228596209665	0.012428554917850674	0.017318516237009775	0.012423242034607106	0.13159983372713574	0.11145959821660541
