Degree	Train MSE	Test MSE	Train Variance	Test Variance	Train Std Dev	Test Std Dev
1	0.23149847372187385	0.15434612832965014	0.22900259216135072	0.1526067351247429	0.47854215296183755	0.39064912021498643
2	0.04315847463540914	0.01966385991317816	0.04114849990709661	0.01888962747374453	0.2028509302593819	0.1374395411580835
3	0.03584042227867363	0.015836285933907072	0.033522948504347436	0.014870143712520734	0.18309273198122156	0.1219431987136664
4	0.028028015143287528	0.013126297716862124	0.025512378357017414	0.011825321691009659	0.15972594766354467	0.10874429498143642
5	0.027822052122679308	0.014726629117569496	0.025508813386869823	0.013527139887412708	0.1597147876274136	0.11630623322682541
6	0.026953217009498962	0.027296733259820745	0.024819989160053842	0.02273794757133215	0.15754361034346598	0.15079107258499141
7	0.022074917661196188	0.021415863601746375	0.019703779038010467	0.016555023664582627	0.14037015009613144	0.12866632684810206
8	0.020492018314494542	0.018625895823040767	0.019436872122185433	0.015933129882310285	0.13941618314308218	0.12622650229769614
9	0.019576699658903133	0.016794841990869176	0.019007768242553638	0.014933978693168091	0.13786866301866293	0.12220465904853256
10	0.019278781919777388	0.015803750400402543	0.019115618717869178	0.014815132095478223	0.1382592446018319	0.1217174272463817
11	0.025488299227890983	0.023873701766635357	0.025270664396214452	0.022116609567109646	0.1589674947786951	0.1487165410003529
12	0.02615620948202416	0.026426872995209176	0.02295795288106662	0.019491083692097063	0.15151882022067958	0.13961047128384413
13	0.06334344084584817	0.06550959514937503	0.06081396651909701	0.053661987582636544	0.2466048793497343	0.23165057216125443
14	0.02786253504370361	0.030654687408364644	0.025366583750706505	0.025836032853756442	0.1592689039037643	0.16073591028067263
15	0.025423694688428936	0.02706090543029578	0.02293582440189102	0.02257499362345237	0.1514457804030572	0.15024977079334387
16	0.02627582721660002	0.03032046580731285	0.02583054032177182	0.029216232298059454	0.16071882379414	0.17092756447705987
17	0.02413591820279072	0.02509826479949393	0.021084775817280178	0.02139352806933732	0.14520597720920506	0.14626526610695145
18	0.02205945709273997	0.024979388089381206	0.022039661377501827	0.024952805024284243	0.14845760801488694	0.1579645688889893
19	0.02578630875800968	0.02320837990948006	0.022890879505137116	0.019665521683679202	0.1512973215398644	0.1402338107721501
20	0.023729411708299918	0.017599464797563746	0.020790612089142253	0.014607285543270477	0.1441895006203373	0.1208606037684343
