Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3810,5oDVOrP8U5lxQIuV4814qA,Justine Skye;Tyga,Evergreen,Collide,0,260190,False,0.426,0.32,11,-9.886,0,0.0647,0.102,0.0,0.275,0.152,135.579,4,alternative
46667,3cFAogNFFH9cM1U2oWPvl5,Anime,Hardshock (Official Hardshock 2019 Anthem),Hardshock (Official Hardshock 2019 Anthem),18,224000,False,0.355,0.99,7,-1.178,1,0.431,0.0385,0.166,0.346,0.0417,179.856,4,happy
21358,1G2J5KdJxNH6Sd0wEclV0P,Sean Paul;Pia Mia,How We Do It,How We Do It (feat. Pia Mia),54,182672,True,0.623,0.818,0,-3.623,1,0.529,0.143,0.0,0.232,0.729,130.655,5,dancehall
4927,1Q5jFp1g2Ns4gBsHRpcqhu,Bethel Music;Jenn Johnson;Michaela Gentile,Simple,In The Ordinary - Spontaneous,50,174971,False,0.49,0.231,0,-13.968,1,0.0265,0.607,0.0,0.0859,0.0904,103.958,4,ambient
90198,012JFkVnfxxnL0dN29j73L,The Spencer Davis Group,(60's) Sixties Collected Volume 2,Keep On Running - Remastered 2010,0,168280,False,0.671,0.689,9,-7.755,1,0.0932,0.328,2.95e-06,0.352,0.811,138.306,4,rock-n-roll
61193,7170gAgk50oMWvxu4HqB9k,BiS,LOOKiE,STUPiD (NEW TYPE Ver.),27,243713,False,0.335,0.968,7,-0.958,1,0.148,5.68e-05,0.0551,0.145,0.559,200.1,4,j-idol
101186,3TjW8eyjJ1QFf7502xxpTf,Traditional;Byron Nelson High School Symphony Orchestra;Jed Weeks,2021 Midwest Clinic: Byron Nelson High School Symphony Orchestra (Live),Nina bobo (Arr. A. Breur for Orchestra) [Live],1,158360,False,0.166,0.0294,7,-31.569,1,0.0371,0.92,0.65,0.837,0.216,87.727,4,sleep
30931,1sh6lL6cmlcwhqZKGiKBua,Avicii;Nicky Romero,I Could Be The One [Avicii vs Nicky Romero],I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,69,208316,False,0.509,0.79,6,-3.782,0,0.0374,0.332,6.67e-05,0.316,0.638,127.946,4,edm
78068,2xdQyyhUESOeww5ZsY434R,Mickie Krause,Karneval Klassiker,Eine Woche wach,0,235899,False,0.711,0.997,7,-3.078,1,0.075,0.0623,0.0,0.33,0.76,134.001,4,party
33668,3aWX8DMLmQCOGx6cHMPr6V,Lil Peep,Vertigo,drugz,62,139706,True,0.582,0.414,0,-11.211,1,0.041,0.0491,0.000843,0.393,0.0515,98.017,4,emo
66574,1Y9g6lovGHz8meNwr8q03m,Desmond Dennis,Cool Kids Jams 3,Stop the Bullying,11,175870,False,0.703,0.454,6,-12.65,1,0.0299,0.105,2.61e-06,0.0916,0.583,114.304,4,kids
74444,5vfmOrlgCEioLXdDSN1muC,Legião Urbana,Acústico (Ao Vivo Em São Paulo / 1999),Metal Contra As Nuvens - Ao Vivo Em São Paulo / 1999,43,561133,False,0.377,0.531,7,-6.229,1,0.0305,0.493,0.0,0.125,0.443,89.075,4,mpb
69381,6b3EUbqLMXDWBGnjdmMKxB,Havoc Brothers,Idhayathai Kolluriyeh,Idhayathai Kolluriyeh,32,202826,False,0.676,0.535,0,-15.059,0,0.0533,0.823,8.97e-06,0.0998,0.563,120.028,4,malay
42379,0crqO7ly9GOYS74r7d8I9l,Capitalist Casualties,Split,Corporate Retreat,14,82173,False,0.405,0.89,8,-5.334,1,0.0569,8.45e-06,0.924,0.277,0.631,99.888,4,grindcore
51630,7LMWOSOTxSMxABmkpG2YK3,Ty Dolla $ign;Post Malone,New Rap Icons,Spicy,0,143375,False,0.785,0.523,7,-5.853,1,0.0489,0.144,0.0,0.117,0.134,100.002,4,hip-hop
95363,1j9J0xKMOtPasadK6qOgly,Rey Ruiz,Mis 30 Mejores Canciones,Mal Momento,32,291693,False,0.71,0.644,0,-8.708,1,0.0324,0.319,4.73e-05,0.176,0.818,92.825,4,salsa
108873,1lZrTyGpXLvos7aQ8w4nuC,Carlos Di Sarli y su Orquesta Típica,Solo Tango: Carlos Di Sarli - Instrumental Vol. 1,El Ingeniero - 2ª Versión,16,194293,False,0.634,0.383,7,-7.707,0,0.0355,0.845,0.647,0.307,0.405,119.2,4,tango
95300,2wRkBumdItthjYP9XknImg,Marc Anthony;Will Smith;Bad Bunny,Está Rico,Está Rico,66,215151,False,0.817,0.74,11,-4.566,0,0.283,0.266,0.0,0.0992,0.674,130.04,4,salsa
65686,3gxNkvcP8scSzL6mGznTn3,BTS,Wings,Awake,66,226160,False,0.35,0.498,3,-6.589,1,0.0332,0.023,1.99e-06,0.269,0.34,142.803,4,k-pop
68475,3wtXp02KWZCqsZGWRZxNM6,Kevin Roldan,Perreo en Halloween,PPP,1,129332,False,0.798,0.625,4,-6.83,1,0.13,0.383,3.33e-05,0.125,0.774,92.994,4,latino
40526,4rQcdah6F4YkgDlmigtAFg,Shirley Carvalhaes,Não Temas,Deus Dará de Volta Tudo pra Você,40,254200,False,0.656,0.502,5,-6.137,1,0.0375,0.736,0.0,0.0938,0.35,135.931,4,gospel
36919,73J45LsWHlyLrOpeWwVNE9,Vald,Gizeh,Gizeh,32,195070,True,0.567,0.665,3,-6.613,0,0.426,0.159,0.0,0.156,0.393,68.257,4,french
68695,5yvTF0bpT4JazX5GhF1uwl,Hector & Tito;Víctor Manuelle,Halloween 2022 Perreo Vol. 1,Ay Amor - Reggaeton,0,233013,False,0.588,0.771,8,-5.125,0,0.0954,0.202,9.12e-06,0.117,0.657,179.968,4,latino
46631,4hY8exmvkGLsZS7ooRdRXY,The Viper;Neophyte;Never Surrender,Coming Home (Never Surrender Remix),Coming Home - Never Surrender Remix,18,266682,True,0.52,0.883,11,-2.724,1,0.0798,0.32,3.05e-05,0.18,0.229,180.015,4,happy
94809,2OdbtJsj3h2u3gbXi0RA9n,Beowülf,Is It Too Late for Me,Is It Too Late for Me,54,117263,False,0.861,0.305,1,-19.138,1,0.155,0.856,0.286,0.172,0.917,113.982,4,sad
91121,4q03M26EkNeEquxx8iieyS,Panic! At The Disco,Timeless Rock Hits,I Write Sins Not Tragedies,3,187613,False,0.565,0.792,9,-4.983,0,0.132,0.0913,0.0,0.114,0.639,170.076,4,rock
9647,2GHQ6x1hPJqZZPIkNk7wgK,Gabriel Brito,Enquanto Eu Te Espero,Enquanto Eu Te Espero,44,336173,False,0.551,0.652,0,-7.087,1,0.0264,0.283,0.00197,0.073,0.142,129.962,4,brazil
74193,1ZcvdGsORCJlk0H1hwgAFt,Legião Urbana,A Tempestade,Dezesseis / Música Incidental: ''Strawberry Fields Forever'',46,323840,False,0.454,0.87,10,-5.358,1,0.0387,0.000226,0.000232,0.0885,0.4,146.878,4,mpb
17118,2636bfqhucgtVPFG1zwEQf,KLOUD,AUTONOMY,FOLLOW ME,45,297600,False,0.497,0.853,8,-3.157,1,0.0434,0.0346,0.00141,0.0968,0.0526,99.958,4,club
57314,6ePcfMCQ7uUKwAamUiVtXL,Hasan Raheem;Justin Bibis;Talal Qureshi,Peechay Hutt,Peechay Hutt,58,225892,False,0.894,0.509,4,-9.59,0,0.0722,0.108,0.000193,0.124,0.589,114.012,4,indie
73219,1XdOmwUJMLTM4PLfDdGlCF,Marc Romboy,ASW is Live EP1,Gangwon,0,390000,False,0.739,0.689,10,-10.108,0,0.076,0.0562,0.922,0.111,0.0396,129.982,4,minimal-techno
102202,2H3Ybag8WuTdoaGVMCDqRl,Harish Budhwani,Saari Umar,Saari Umar,44,274240,False,0.576,0.236,7,-11.467,1,0.0375,0.281,0.0,0.112,0.415,124.877,4,songwriter
84801,2VDkE9sdVpQAgEqH5fvTMV,Jim Morrison;The Doors,An American Prayer,An American Prayer,45,184400,True,0.704,0.427,7,-15.091,1,0.0606,0.411,0.0247,0.233,0.774,110.389,4,psych-rock
75283,5mLLx6D8S2i9qF0FRV1wB5,Robert Haig Coxon,The Infinite... Essence of Life,The Family,25,636146,False,0.174,0.0866,7,-19.19,1,0.0402,0.935,0.867,0.109,0.0387,121.211,4,new-age
84023,45skzwZt6b2YX5ap828goG,The Beach Boys,Christmas Playlist 2022,The Man With All The Toys - 1991 Remix,0,91186,False,0.708,0.491,6,-8.596,1,0.0365,0.442,9.88e-06,0.0624,0.657,138.347,4,psych-rock
